ASSOC , U    , *LCC68*14* ,         ,
        ,      ,          ,         ,
Pin     , Unit , Type     , Name    , Side
6       , 1    , power_in , VIN     , left
*       , 1    ,          ,         , left
4       , 1    , power_in , PVIN    , left
5       , 1    , power_in , PVIN    , left
10      , 1    , input    , EN      , left
14      , 1    , power_in , PGOOD   , left
1       , 1    , passive  , RT/SYNC , left
9       , 1    , input    , SS/TR   , left
13      , 1    , power_in , BOOT    , right
*       , 1    ,          ,         , right
11      , 1    , power_in , LX      , right
12      , 1    , power_in , LX      , right
*       , 1    ,          ,         , right
7       , 1    , passive  , FB      , right
8       , 1    , passive  , COMP    , right
*       , 1    ,          ,         , right
2       , 1    , power_in , GND     , right
3       , 1    , power_in , GND     , right


Pin,Function,Obs
1,gnd,gnd_io
2,gnd,gnd_io
3,dl_i,
4,dl_o,
5,vdd_async,
6,gnd,gnd_async
7,gnd,substrate
8,gnd,substrate
9,gnd,substrate
10,gpio_b_0,
11,gpio_b_1,
12,gpio_b_2,
13,gpio_b_3,
14,gpio_b_4,
15,gpio_b_5,
16,gpio_b_6,
17,gpio_b_7,
18,gpio_b_8,
19,gpio_b_9,
20,gpio_b_10,
21,gpio_b_11,
22,vdd_periph,
23,gnd,gnd_periph
24,gnd,substrate
25,gpio_b_12,
26,gpio_b_13,
27,gpio_b_14,
28,gpio_b_15,
29,gpio_a_15,
30,gpio_a_14,
31,gpio_a_13,
32,gpio_a_12,
33,gpio_a_11,
34,gpio_a_10,
35,gpio_a_9,
36,vdd_io,
37,vdd_io,
38,gnd,gnd_io
39,gnd,gnd_io
40,gnd,gnd_periph
41,vdd_periph,
42,gpio_a_8,
43,gpio_a_7,
44,gpio_a_6,
45,gpio_a_5,
46,gpio_a_4,
47,gpio_a_3,
48,gpio_a_2,
49,gpio_a_1,
50,gpio_a_0,
51,gnd,gnd_core
52,vdd_core,
53,spi_miso,
54,spi_mosi,
55,spi_clk,
56,spi_ssn2,
57,spi_ssn,
58,test_tm,
59,test_se,
60,gnd,substrate
61,gnd,substrate
62,reset_n,
63,vdd_periph,
64,gnd,gnd_periph
65,xtal,
66,xtal,
67,vdd_io,
68,vdd_io,
